"subject","version","assignmentId","question","question_ind","all_values","question_order","comp_check","comp_check_pass","choice","scratch","rt","stamp","id"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","5","0","GLUNDLE",,"11590","2017-02-06 16:26:43","98"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","1","8","0","POUTA",,"10399","2017-02-06 16:27:13","99"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","2","20","0","SLEAP",,"7740","2017-02-06 16:27:40","100"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","3","8","0","GLUNDLE",,"4412","2017-02-06 16:28:02","101"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","4","16","1","GLUNDLE",,"4213","2017-02-06 16:28:16","102"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","5","5","0","SLEEM",,"7389","2017-02-06 16:28:45","103"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","6","8","1","GLUNDLE",,"4049","2017-02-06 16:29:10","104"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","7","16","0","GLUNDLE",,"3696","2017-02-06 16:29:22","105"
"AITOOWS61SPF6","cs_wg_v1_pilot2","3NPI0JQDAO6B1PAO1XMHIOT8W2NPT8","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","8","8","0","GLUNDLE",,"4760","2017-02-06 16:29:40","106"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","0","5","0","plibbering","plib
thocky
hatchak
","47300","2017-02-06 16:36:19","107"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","1","20","0","gnarly","plib
thocky
hatchack
gnarly","24535","2017-02-06 16:36:56","108"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","2","5","1","thocky","plibbering
thocky
hatchack
gnarly
","46123","2017-02-06 16:38:24","109"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","3","20","0","gnarly","thocky
plibbering
hatchack
gnarly
","58150","2017-02-06 16:39:50","110"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","4","20","1","hatchack","plimmering
hatchack
thocky
gnarly","36003","2017-02-06 16:41:05","111"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","5","20","0","hatchack","plimmering
thocky
hatchack
gnarly","19341","2017-02-06 16:41:43","112"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","6","8","1","GLIMMERING","GLIMMERING
HATCHACK
THOCKY
GNARLY","38545","2017-02-06 16:42:43","113"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","0","8","0","HOTCHACK",,"65770","2017-02-06 16:43:05","114"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","1","8","0","FLEMMING",,"31333","2017-02-06 16:43:42","115"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","7","20","0","GLIMMERING","GLIMMERING
HATCHACK
THCOKY
GNARLY","27667","2017-02-06 16:43:45","116"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","2","5","0",,,"34750","2017-02-06 16:44:22","117"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","3","4","0",,"N/A","9320","2017-02-06 16:44:37","118"
"A15V8K8M4TXT9Y","cs_wg_v1_pilot2","3FTYUGLFSUM0RQW8VSDOFE652GYD5R","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","8","20","0","GLIMMERING",,"46301","2017-02-06 16:44:47","119"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","4","4","0","HOTCRACK","HOTCRACK","18587","2017-02-06 16:45:08","120"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","5","5","1","FLEMMING","FLEMMING","21358","2017-02-06 16:45:35","121"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","6","4","0",,,"12141","2017-02-06 16:45:52","122"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","7","5","0",,,"4491","2017-02-06 16:46:04","123"
"AEFZE7BIGDAS2","cs_wg_v1_pilot2","3OB0CAO74HQF5UBUSQ1BHWJWPDVHYK","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","8","8","0",,,"21093","2017-02-06 16:46:35","124"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","0","20","1","hotchack","flemmering 5 5 5 5
hotchack 5 5 5 5 5
jaddeared 5 5 5 5","167208","2017-02-06 16:59:13","125"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Number of pairs which are adjacent in alphabet","7","[4,12,0,4,12,12,16,4,8,8,12,8,4,4,4,4,4,8,16,0,8,0,4,4,28,0,0,8,4,8,0,24,8]","0","5","0","fippery",,"31761","2017-02-06 16:59:33","126"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Number of letters before word's second letter in alphabet","5","[2,20,7,0,2,17,20,0,14,19,8,11,20,8,11,14,14,17,7,0,7,7,14,11,11,8,13,11,4,20,14,0,20]","1","20","0","fipper","fippery","11174","2017-02-06 17:00:24","127"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","2","16","1","wookey",,"9573","2017-02-06 17:01:03","128"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Give us a word with the most letters in the set: S, G, E, F, B, N, or L.","0","[12,12,0,8,16,8,8,4,4,16,8,12,12,12,20,4,8,8,16,8,4,0,8,20,24,12,12,20,12,8,0,8,4]","3","24","1","fipper",,"3676","2017-02-06 17:01:26","129"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","1","5","1","chaxed","chaxed 
thocky","66246","2017-02-06 17:01:43","130"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Give us a word with the most letters in the set: U, A, D, W, Y, R, M, J, Z.","2","[4,12,0,12,8,8,12,8,4,4,12,0,12,0,4,8,8,12,4,16,8,4,8,8,12,4,4,8,4,16,4,28,24]","4","16","1","fipper",,"8605","2017-02-06 17:01:49","131"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Vertical lines","8","[6,6,10,6,8,10,14,6,4,6,16,12,4,14,12,6,10,10,14,12,8,10,8,12,24,12,6,18,16,12,12,12,10]","5","12","0","fipper",,"13471","2017-02-06 17:02:52","132"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Give us a word with the most letters that are earlier in the alphabet than the letter right after it.","3","[8,8,12,8,4,8,8,4,4,12,8,12,0,12,16,0,8,8,8,12,8,12,8,12,16,8,4,8,8,12,20,12,12]","6","5","0","wookey",,"5427","2017-02-06 17:03:39","133"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Number of letters in alphabet between word's 4th and 5th letters","6","[0,14,5,20,2,11,5,1,1,21,6,8,2,7,11,6,2,9,1,8,19,8,5,10,0,2,17,0,2,7,5,1,17]","7","5","1","fipper",,"4613","2017-02-06 17:03:59","134"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Give us a word with the most letters in the set: T, P, O, K, I, C, V, H.","1","[8,0,24,0,8,8,8,8,12,8,12,16,0,16,8,12,12,8,8,0,8,20,8,0,4,8,4,8,8,0,28,0,0]","2","16","1","thocky ","plibbered 8
mickered 12
blicket 16
thocky ","125919","2017-02-06 17:04:22","135"
"A1945USNZHTROX","cs_wg_v1_pilot2","3JWH6J9I9SEB2I4ULWI4E5IRQGMNBK","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","8","5","1","fipper",,"3861","2017-02-06 17:04:28","136"
"AR1IWBDA7MC86","cs_wg_v1_pilot2","3RRCEFRB7MDPGAUO3R38FWCRZZRB4D","Give us a word where the most letters come after the word's third letter in the alphabet.","4","[9,9,12,15,9,12,13,7,26,22,24,18,20,11,22,12,26,12,22,9,26,12,9,6,22,13,26,18,22,23,7,23,9]","3","5","1","chaxed",,"33118","2017-02-06 17:05:35","137"
